"conc","well","chemical.id","plate.id","Interval","Movement"
0,"G01","1174","25484","B",0
0,"G02","1174","25484","B",5.15287661111111
0,"G03","1174","25484","B",7.34953734027778
0,"G04","1174","25484","B",6.16560450694444
0,"G05","1174","25484","B",0
0,"G06","1174","25484","B",0
0,"G07","1174","25484","B",0
0,"G08","1174","25484","B",2.37268631944444
0,"G09","1174","25484","B",3.44328685416667
0,"G10","1174","25484","B",0
0,"G11","1174","25484","B",0
0,"G12","1174","25484","B",0
0,"H01","1174","25484","B",0
0,"H02","1174","25484","B",0
0,"H03","1174","25484","B",2.30275972222222
0,"H04","1174","25484","B",0
0,"H05","1174","25484","B",6.75153872916667
0,"H06","1174","25484","B",1.39612515277778
0,"H07","1174","25484","B",0.679977006944444
0,"H08","1174","25484","B",0
0,"H09","1174","25484","B",0
0,"H10","1174","25484","B",0
0,"H11","1174","25484","B",0
0,"H12","1174","25484","B",1.45158131944444
0,"G01","1174","25485","B",0
0,"G02","1174","25485","B",0.00241126388888889
0,"G03","1174","25485","B",0.0940393472222222
0,"G04","1174","25485","B",0
0,"G05","1174","25485","B",2.78983239583333
0,"G06","1174","25485","B",3.61930815277778
0,"G07","1174","25485","B",2.30275659722222
0,"G08","1174","25485","B",0
0,"G09","1174","25485","B",0
0,"G10","1174","25485","B",0
0,"G11","1174","25485","B",0
0,"G12","1174","25485","B",0
0,"H01","1174","25485","B",2.46913534722222
0,"H02","1174","25485","B",2.27382063888889
0,"H04","1174","25485","B",4.73089897222222
0,"H05","1174","25485","B",4.63927048611111
0,"H06","1174","25485","B",0
0,"H07","1174","25485","B",0
0,"H08","1174","25485","B",0
0,"H09","1174","25485","B",0
0,"H10","1174","25485","B",0
0,"H11","1174","25485","B",5.2445039375
0,"H12","1174","25485","B",0
0,"G01","1174","25484","E",4.6006909375
0,"G02","1174","25484","E",3.95929694444444
0,"G03","1174","25484","E",5.96547259722222
0,"G04","1174","25484","E",7.54725895833333
0,"G05","1174","25484","E",4.11361994444444
0,"G06","1174","25484","E",9.34606379166667
0,"G07","1174","25484","E",4.84664408333333
0,"G08","1174","25484","E",2.66203899305556
0,"G09","1174","25484","E",3.720579
0,"G10","1174","25484","E",0
0,"G11","1174","25484","E",4.43432118055556
0,"G12","1174","25484","E",0
0,"H01","1174","25484","E",2.77777774305556
0,"H02","1174","25484","E",4.45843027777778
0,"H03","1174","25484","E",3.64100809027778
0,"H04","1174","25484","E",5.28790333333333
0,"H05","1174","25484","E",7.54967426388889
0,"H06","1174","25484","E",5.2131539375
0,"H07","1174","25484","E",0
0,"H08","1174","25484","E",9.92236072916667
0,"H09","1174","25484","E",1.42505902777778
0,"H10","1174","25484","E",0
0,"H11","1174","25484","E",4.29446543055556
0,"H12","1174","25484","E",0
0,"G01","1174","25485","E",4.58863740277778
0,"G02","1174","25485","E",5.71469845138889
0,"G03","1174","25485","E",0
0,"G04","1174","25485","E",10.4745362013889
0,"G05","1174","25485","E",11.0122496736111
0,"G06","1174","25485","E",0
0,"G07","1174","25485","E",6.252413875
0,"G08","1174","25485","E",4.25347027777778
0,"G09","1174","25485","E",0
0,"G10","1174","25485","E",6.11255871527778
0,"G11","1174","25485","E",6.12220192361111
0,"G12","1174","25485","E",4.0171650625
0,"H01","1174","25485","E",7.74980507638889
0,"H02","1174","25485","E",16.1771803333333
0,"H04","1174","25485","E",2.20630694444444
0,"H05","1174","25485","E",6.31992638194444
0,"H06","1174","25485","E",0
0,"H07","1174","25485","E",6.38021006944444
0,"H08","1174","25485","E",5.61101501388889
0,"H09","1174","25485","E",1.70476295138889
0,"H10","1174","25485","E",1.82291701388889
0,"H11","1174","25485","E",6.70573207638889
0,"H12","1174","25485","E",3.78810085416667
0,"G01","1174","25484","R",0
0,"G02","1174","25484","R",0
0,"G03","1174","25484","R",0
0,"G04","1174","25484","R",0
0,"G05","1174","25484","R",0
0,"G06","1174","25484","R",0
0,"G07","1174","25484","R",0
0,"G08","1174","25484","R",2.2026892421875
0,"G09","1174","25484","R",0
0,"G10","1174","25484","R",0
0,"G11","1174","25484","R",0
0,"G12","1174","25484","R",0
0,"H01","1174","25484","R",0
0,"H02","1174","25484","R",0
0,"H03","1174","25484","R",0
0,"H04","1174","25484","R",3.550892453125
0,"H05","1174","25484","R",0
0,"H06","1174","25484","R",3.5291875
0,"H07","1174","25484","R",0
0,"H08","1174","25484","R",0.008138015625
0,"H09","1174","25484","R",0
0,"H10","1174","25484","R",0
0,"H11","1174","25484","R",0
0,"H12","1174","25484","R",0
0,"G01","1174","25485","R",0
0,"G02","1174","25485","R",0
0,"G03","1174","25485","R",0
0,"G04","1174","25485","R",0
0,"G05","1174","25485","R",0
0,"G06","1174","25485","R",0
0,"G07","1174","25485","R",0
0,"G08","1174","25485","R",0.002712671875
0,"G09","1174","25485","R",0
0,"G10","1174","25485","R",0
0,"G11","1174","25485","R",0
0,"G12","1174","25485","R",0
0,"H01","1174","25485","R",0
0,"H02","1174","25485","R",0
0,"H04","1174","25485","R",0
0,"H05","1174","25485","R",0
0,"H06","1174","25485","R",0
0,"H07","1174","25485","R",0
0,"H08","1174","25485","R",0
0,"H09","1174","25485","R",4.45420909375
0,"H10","1174","25485","R",0
0,"H11","1174","25485","R",0
0,"H12","1174","25485","R",0
