"chemical.id","endpoints","conc","total.hits","non.sig.hits","sig.hits"
1174,"MO24","0","13","13",0
1174,"MO24","1","9","9",0
1174,"MO24","5","8","8",0
1174,"MO24","10","0","0",0
1174,"DP24","0","0","0",0
1174,"DP24","1","0","0",0
1174,"DP24","5","0","0",0
1174,"DP24","10","0","0",0
1174,"SM24","0","0","0",0
1174,"SM24","1","0","0",0
1174,"SM24","5","0","0",0
1174,"SM24","10","0","0",0
1174,"NC24","0","0","0",0
1174,"NC24","1","0","0",0
1174,"NC24","5","0","0",0
1174,"NC24","10","0","0",0
1174,"MORT","0","13","13",0
1174,"MORT","1","9","9",0
1174,"MORT","5","9","9",0
1174,"MORT","10","1","1",0
1174,"YSE_","0","1","1",0
1174,"YSE_","1","5","5",0
1174,"YSE_","5","1","1",0
1174,"YSE_","10","0","0",0
1174,"AXIS","0","1","1",0
1174,"AXIS","1","5","5",0
1174,"AXIS","5","0","0",0
1174,"AXIS","10","0","0",0
1174,"EYE_","0","1","1",0
1174,"EYE_","1","6","6",0
1174,"EYE_","5","1","1",0
1174,"EYE_","10","0","0",0
1174,"SNOU","0","1","1",0
1174,"SNOU","1","4","4",0
1174,"SNOU","5","0","0",0
1174,"SNOU","10","0","0",0
1174,"JAW_","0","1","1",0
1174,"JAW_","1","4","4",0
1174,"JAW_","5","0","0",0
1174,"JAW_","10","0","0",0
1174,"OTIC","0","1","1",0
1174,"OTIC","1","3","3",0
1174,"OTIC","5","0","0",0
1174,"OTIC","10","0","0",0
1174,"PE__","0","2","2",0
1174,"PE__","1","5","5",0
1174,"PE__","5","1","1",0
1174,"PE__","10","0","0",0
1174,"BRAI","0","0","0",0
1174,"BRAI","1","3","3",0
1174,"BRAI","5","0","0",0
1174,"BRAI","10","0","0",0
1174,"SOMI","0","0","0",0
1174,"SOMI","1","3","3",0
1174,"SOMI","5","0","0",0
1174,"SOMI","10","0","0",0
1174,"PFIN","0","1","1",0
1174,"PFIN","1","4","4",0
1174,"PFIN","5","0","0",0
1174,"PFIN","10","0","0",0
1174,"CFIN","0","1","1",0
1174,"CFIN","1","4","4",0
1174,"CFIN","5","0","0",0
1174,"CFIN","10","0","0",0
1174,"PIG_","0","0","0",0
1174,"PIG_","1","3","3",0
1174,"PIG_","5","0","0",0
1174,"PIG_","10","0","0",0
1174,"CIRC","0","0","0",0
1174,"CIRC","1","3","3",0
1174,"CIRC","5","0","0",0
1174,"CIRC","10","0","0",0
1174,"TRUN","0","1","1",0
1174,"TRUN","1","3","3",0
1174,"TRUN","5","0","0",0
1174,"TRUN","10","0","0",0
1174,"SWIM","0","0","0",0
1174,"SWIM","1","3","3",0
1174,"SWIM","5","0","0",0
1174,"SWIM","10","0","0",0
1174,"NC__","0","0","0",0
1174,"NC__","1","3","3",0
1174,"NC__","5","0","0",0
1174,"NC__","10","0","0",0
1174,"TR__","0","0","0",0
1174,"TR__","1","3","3",0
1174,"TR__","5","0","0",0
1174,"TR__","10","0","0",0
1174,"any.except.MORT","0","2","2",0
1174,"any.except.MORT","1","6","6",0
1174,"any.except.MORT","5","1","1",0
1174,"any.except.MORT","10","0","0",0
1174,"any.effect","0","15","15",0
1174,"any.effect","1","15","15",0
1174,"any.effect","5","10","10",0
1174,"any.effect","10","1","1",0
