"chemical.id","chemical.name","conc","Interval","Movement.peak","Movement.sd","Movement.n","ks.stat","ks.pval","diff","delta","sig"
"1174","Benzo[a]pyrene",0,"B",1.61825596661325,3.13086412761148,1170,0,1,0,0,0
"1174","Benzo[a]pyrene",0,"E",1.06231078931624,4.01756527132827,1170,0,1,0,0,0
"1174","Benzo[a]pyrene",0,"R",0.106983655348558,0.740505886446548,1040,0,1,0,0,0
"1174","Benzo[a]pyrene",1,"B",2.0575953968107,3.77312949321134,1215,0.0588793922127256,0.032079960718906,0.439339430197452,0.271489454858565,0
"1174","Benzo[a]pyrene",1,"E",1.11030729609053,3.21633327798167,1215,0.0377967711301045,0.362080034782127,0.0479965067742956,0.0451812287486873,0
"1174","Benzo[a]pyrene",1,"R",0.183979563368056,1.32514840299041,1080,0.0211894586894587,0.97125423949504,0.0769959080194979,0.719697861964444,0
"1174","Benzo[a]pyrene",5,"B",2.43053735737977,4.50029432092019,1206,0.0888506187013649,0.000169393603631107,0.81228139076652,0.50194864565616,0
"1174","Benzo[a]pyrene",5,"E",2.33282711541252,6.94578897673433,1206,0.0879831611174895,0.000203246067824847,1.27051632609628,1.1959930548329,1
"1174","Benzo[a]pyrene",5,"R",0.255942763001399,2.50827017731989,1072,0.0091848450057406,0.99999999998895,0.148959107652842,1.39235388029626,0
"1174","Benzo[a]pyrene",10,"B",2.7044852347608,5.05245000256253,1296,0.102552231718898,4.83122297223471e-06,1.08622926814755,0.6712345207173,0
"1174","Benzo[a]pyrene",10,"E",3.85266602811536,8.98416961335284,1296,0.158831908831909,6.7168492989822e-14,2.79035523879912,2.62668445699882,1
"1174","Benzo[a]pyrene",10,"R",0.353080831108941,2.76682602311837,1152,0.0153445512820514,0.999520280756366,0.246097175760383,2.30032498850957,0
