"chemical.id","bottle.id","chemical.name","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"P737470_20200123","P737470","Benzo[a]pyrene",0,23.4,0,0,0,23.4,2.78,2.78,2.78,2.78,2.78,2.78,2.78,0,0,2.78,2.78,0,0,2.78,0,0,0,2.78,25.53
"P737470_20200123","P737470","Benzo[a]pyrene",1,10.42,0,0,0,10.42,4.65,4.65,4.65,2.33,2.33,0,2.33,0,0,2.33,2.33,0,0,0,0,0,0,4.65,14.58
"P737470_20200123","P737470","Benzo[a]pyrene",5,12.77,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89
"P737470_20200123","P737470","Benzo[a]pyrene",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P737470_20200206","P737470","Benzo[a]pyrene",0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,2.08,2.08
"P737470_20200206","P737470","Benzo[a]pyrene",1,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33
"P737470_20200206","P737470","Benzo[a]pyrene",5,0,0,0,0,0,2.08,0,2.08,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,2.08,2.08
"P737470_20200206","P737470","Benzo[a]pyrene",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P737470_20200227","P737470","Benzo[a]pyrene",0,4.17,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17
"P737470_20200227","P737470","Benzo[a]pyrene",1,0,0,0,0,0,6.25,6.25,8.33,6.25,6.25,6.25,8.33,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,8.33,8.33
"P737470_20200227","P737470","Benzo[a]pyrene",5,4.26,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26
"P737470_20200227","P737470","Benzo[a]pyrene",10,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08
